cluster	threshold	id	seqs	gi	count	new_names	reduced	dedup	rep_name
cluster_1.00_1	1.00	1	rRNA_gi|374325525|ref|NC_016645.1|_127216-130814_DIR+	374325525	1	ID.1690	0	0	ID.1690
cluster_1.00_2	1.00	2	rRNA_gi|479152295|ref|NC_021014.1|_2702614-2706143_DIR+	479152295	1	ID.891	1	0	ID.891
cluster_1.00_3	1.00	3	rRNA_gi|116514950|ref|NC_008513.1|_183495-186805_DIR+	116514950	1	ID.92	1	0	ID.92
cluster_1.00_4	1.00	4	rRNA_gi|400404025|ref|NC_018415.1|_112341-115630_DIR-	400404025	1	ID.602	1	0	ID.602
cluster_1.00_5	1.00	5	rRNA_gi|384207496|ref|NC_017243.1|_2961026-2964311_DIR-	384207496	1	ID.1259	1	0	ID.1259
cluster_1.00_6	1.00	6	rRNA_gi|400403787|ref|NC_018414.1|_112382-115666_DIR-	400403787	1	ID.2983	1	0	ID.2983
cluster_1.00_7	1.00	7	rRNA_gi|300869639|ref|NC_014330.1|_1710299-1713579_DIR+	300869639	1	ID.2887	0	0	ID.2887
cluster_1.00_8	1.00	8	rRNA_gi|434380778|ref|NC_018604.1|_417247-420527_DIR+	434380778	1	ID.1762	0	0	ID.1762
cluster_1.00_9	1.00	9	rRNA_gi|225618950|ref|NC_012225.1|_2384855-2388135_DIR+	225618950	1	ID.3996	1	0	ID.3996
cluster_1.00_10	1.00	10	rRNA_gi|400404263|ref|NC_018416.1|_116319-119594_DIR-	400404263	1	ID.3435	1	0	ID.3435
cluster_1.00_11	1.00	11	rRNA_gi|336112679|ref|NC_015634.1|_2125194-2128466_DIR-	336112679	1	ID.1459	1	0	ID.1459
cluster_1.00_12	1.00	12	rRNA_gi|400404501|ref|NC_018417.1|_107630-110897_DIR-	400404501	1	ID.2201	1	0	ID.2201
cluster_1.00_13	1.00	13	rRNA_gi|428771848|ref|NC_019778.1|_3139880-3143145_DIR+	428771848	1	ID.686	1	0	ID.686
cluster_1.00_14	1.00	14	rRNA_gi|431806727|ref|NC_019908.1|_1557143-1560404_DIR-	431806727	1	ID.348	1	0	ID.348
cluster_1.00_15	1.00	15	rRNA_gi|404474675|ref|NC_018607.1|_2465051-2468306_DIR-	404474675	1	ID.3477	0	0	ID.3477
cluster_1.00_16	1.00	16	rRNA_gi|387601291|ref|NC_017333.1|_2181271-2184522_DIR-	387601291	1	ID.1312	1	0	ID.1312
cluster_1.00_17	1.00	17	rRNA_gi|336233113|ref|NC_015662.1|_194822-198070_DIR+	336233113	1	ID.4410	1	0	ID.4410
cluster_1.00_18	1.00	18	rRNA_gi|509154128|ref|NC_021355.1|_764964-768211_DIR+	509154128	1	ID.3081	1	0	ID.3081
cluster_1.00_19	1.00	19	rRNA_gi|527324386|ref|NC_021894.1|_123771-127016_DIR-	527324386	1	ID.509	1	0	ID.509
cluster_1.00_20	1.00	20	rRNA_gi|84488831|ref|NC_007681.1|_1167656-1170900_DIR-	84488831	1	ID.2708	1	0	ID.2708
cluster_1.00_21	1.00	21	rRNA_gi|529067324|ref|NC_021919.1|_92670-95909_DIR-	529067324	1	ID.2054	1	0	ID.2054
cluster_1.00_22	1.00	22	rRNA_gi|429216255|ref|NC_019791.1|_664896-668130_DIR-	429216255	1	ID.3940	1	0	ID.3940
cluster_1.00_23	1.00	23	rRNA_gi|297618528|ref|NC_014222.1|_1572707-1575927_DIR+	297618528	1	ID.3503	1	0	ID.3503
cluster_1.00_24	1.00	24	rRNA_gi|568131692|ref|NC_023062.1|_548672-551890_DIR-	568131692	1	ID.2999	1	0	ID.2999
cluster_1.00_25	1.00	25	rRNA_gi|116334902|ref|NC_008512.1|_108440-111658_DIR-	116334902	1	ID.1906	1	0	ID.1906
cluster_1.00_26	1.00	26	rRNA_gi|383842824|ref|NC_017062.1|_778627-781824_DIR-	383842824	1	ID.4249	1	0	ID.4249
cluster_1.00_26	1.00	26	rRNA_gi|383751989|ref|NC_017066.1|_778059-781256_DIR-	383751989	1	NA	NA	1	ID.4249
cluster_1.00_26	1.00	26	rRNA_gi|51473215|ref|NC_006142.1|_777963-781160_DIR-	51473215	1	NA	NA	1	ID.4249
cluster_1.00_27	1.00	27	rRNA_gi|400404723|ref|NC_018418.1|_108831-112021_DIR-	400404723	1	ID.3409	1	0	ID.3409
cluster_1.00_28	1.00	28	rRNA_gi|150398760|ref|NC_009634.1|_1211871-1215060_DIR+	150398760	3	ID.3482	1	0	ID.1224
cluster_1.00_28	1.00	28	rRNA_gi|150398760|ref|NC_009634.1|_155-1616_DIR+	150398760	3	ID.1224	1	0	ID.1224
cluster_1.00_28	1.00	28	rRNA_gi|150398760|ref|NC_009634.1|_1245385-1246846_DIR+	150398760	3	NA	NA	1	ID.1224
cluster_1.00_29	1.00	29	rRNA_gi|336121001|ref|NC_015636.1|_716968-720138_DIR-	336121001	1	ID.1548	1	0	ID.1548
cluster_1.00_30	1.00	30	rRNA_gi|84488831|ref|NC_007681.1|_852505-855662_DIR+	84488831	1	ID.3418	1	0	ID.3418
cluster_1.00_31	1.00	31	rRNA_gi|568175750|ref|NC_023073.1|_873756-876908_DIR+	568175750	1	ID.4043	1	0	ID.4043
cluster_1.00_32	1.00	32	rRNA_gi|479150083|ref|NC_021013.1|_297741-300852_DIR+	479150083	1	ID.2838	1	0	ID.2838
cluster_1.00_33	1.00	33	rRNA_gi|386081834|ref|NC_017560.1|_770516-773581_DIR-	386081834	1	ID.4112	0	0	ID.4112
cluster_1.00_34	1.00	34	rRNA_gi|383488278|ref|NC_017050.1|_770600-773665_DIR-	383488278	1	NA	NA	1	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|478693373|ref|NC_020993.1|_1105401-1108466_DIR+	478693373	1	ID.2288	1	0	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|383500100|ref|NC_017057.1|_770986-774051_DIR-	383500100	1	NA	NA	1	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|383487432|ref|NC_017049.1|_768721-771786_DIR-	383487432	1	NA	NA	1	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|383489123|ref|NC_017051.1|_768736-771801_DIR-	383489123	1	NA	NA	1	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|383486602|ref|NC_017048.1|_835-3900_DIR-	383486602	1	NA	NA	1	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|478692434|ref|NC_020992.1|_521813-524878_DIR+	478692434	1	NA	NA	1	ID.2288
cluster_1.00_34	1.00	34	rRNA_gi|383499256|ref|NC_017056.1|_770599-773664_DIR-	383499256	1	NA	NA	1	ID.2288
cluster_1.00_35	1.00	35	rRNA_gi|297618528|ref|NC_014222.1|_1534654-1537718_DIR-	297618528	1	ID.4720	1	0	ID.4720
cluster_1.00_36	1.00	36	rRNA_gi|15603881|ref|NC_000963.1|_770689-773753_DIR-	15603881	1	ID.3207	0	0	ID.3207
cluster_1.00_37	1.00	37	rRNA_gi|557604010|ref|NC_022777.1|_546799-549813_DIR+	557604010	1	ID.250	1	0	ID.250
cluster_1.00_38	1.00	38	rRNA_gi|386748726|ref|NC_017737.1|_346061-349072_DIR+	386748726	1	ID.865	0	0	ID.865
cluster_1.00_39	1.00	39	rRNA_gi|288559258|ref|NC_013790.1|_759345-762348_DIR+	288559258	1	ID.3458	1	0	ID.3458
cluster_1.00_40	1.00	40	rRNA_gi|386748726|ref|NC_017737.1|_1834544-1837546_DIR-	386748726	1	ID.600	0	0	ID.600
cluster_1.00_41	1.00	41	rRNA_gi|509154128|ref|NC_021355.1|_474905-477902_DIR+	509154128	1	ID.543	1	0	ID.543
cluster_1.00_42	1.00	42	rRNA_gi|150400439|ref|NC_009635.1|_1194638-1197609_DIR-	150400439	1	ID.3843	1	0	ID.3843
cluster_1.00_43	1.00	43	rRNA_gi|239916571|ref|NC_012803.1|_1563113-1566028_DIR-	239916571	1	ID.1090	1	0	ID.1090
cluster_1.00_44	1.00	44	rRNA_gi|518651360|ref|NC_021592.1|_724601-727515_DIR+	518651360	1	ID.106	1	0	ID.106
cluster_1.00_45	1.00	45	rRNA_gi|479136967|ref|NC_021009.1|_505857-508732_DIR-	479136967	1	ID.4710	1	0	ID.4710
cluster_1.00_46	1.00	46	rRNA_gi|150398760|ref|NC_009634.1|_1041676-1044532_DIR-	150398760	1	ID.3166	1	0	ID.3166
cluster_1.00_47	1.00	47	rRNA_gi|227831830|ref|NC_012590.1|_1486191-1489023_DIR-	227831830	1	ID.3268	0	0	ID.3268
cluster_1.00_48	1.00	48	rRNA_gi|320449106|ref|NC_014974.1|_592399-595224_DIR+	320449106	1	ID.4176	1	0	ID.4176
cluster_1.00_49	1.00	49	rRNA_gi|336324561|ref|NC_015673.1|_115758-118576_DIR-	336324561	1	ID.3976	1	0	ID.3976
cluster_1.00_50	1.00	50	rRNA_gi|336121001|ref|NC_015636.1|_761282-764035_DIR+	336121001	1	ID.4333	1	0	ID.4333
cluster_1.00_51	1.00	51	rRNA_gi|84488831|ref|NC_007681.1|_947511-950259_DIR-	84488831	1	ID.1479	1	0	ID.1479
cluster_1.00_52	1.00	52	rRNA_gi|88657561|ref|NC_007799.1|_940975-943719_DIR-	88657561	1	ID.2154	1	0	ID.2154
cluster_1.00_53	1.00	53	rRNA_gi|58578664|ref|NC_006832.1|_306937-309677_DIR+	58578664	1	ID.4537	0	0	ID.4537
cluster_1.00_54	1.00	54	rRNA_gi|57238731|ref|NC_005295.2|_326944-329684_DIR+	57238731	1	ID.1887	1	0	ID.1887
cluster_1.00_55	1.00	55	rRNA_gi|73666633|ref|NC_007354.1|_285940-288678_DIR+	73666633	1	ID.551	1	0	ID.551
cluster_1.00_56	1.00	56	rRNA_gi|479133135|ref|NC_017175.1|_4213457-4216191_DIR+	479133135	1	ID.2946	1	0	ID.2946
cluster_1.00_57	1.00	57	rRNA_gi|84488831|ref|NC_007681.1|_407423-410139_DIR+	84488831	1	ID.469	1	0	ID.469
cluster_1.00_58	1.00	58	rRNA_gi|48477072|ref|NC_005877.1|_470719-473423_DIR-	48477072	1	ID.4171	1	0	ID.4171
cluster_1.00_59	1.00	59	rRNA_gi|288559258|ref|NC_013790.1|_2041891-2044565_DIR-	288559258	1	ID.2713	1	0	ID.2713
cluster_1.00_60	1.00	60	rRNA_gi|479201824|ref|NC_021040.1|_348381-351031_DIR+	479201824	1	ID.5016	0	0	ID.5016
cluster_1.00_61	1.00	61	rRNA_gi|340623184|ref|NC_015847.1|_35454-38097_DIR-	340623184	2	ID.3076	1	0	ID.3076
cluster_1.00_61	1.00	61	rRNA_gi|340623184|ref|NC_015847.1|_3356-4817_DIR-	340623184	2	NA	NA	1	ID.3076
cluster_1.00_61	1.00	61	rRNA_gi|45357563|ref|NC_005791.1|_3356-4817_DIR-	45357563	2	ID.1415	1	0	ID.3076
cluster_1.00_61	1.00	61	rRNA_gi|45357563|ref|NC_005791.1|_8397-9858_DIR-	45357563	2	NA	NA	1	ID.3076
cluster_1.00_62	1.00	62	rRNA_gi|45357563|ref|NC_005791.1|_40488-43131_DIR-	45357563	1	ID.3141	1	0	ID.3141
cluster_1.00_63	1.00	63	rRNA_gi|479336697|ref|NC_021047.1|_235702-238322_DIR+	479336697	1	ID.2562	1	0	ID.2562
cluster_1.00_64	1.00	64	rRNA_gi|383749063|ref|NC_017063.1|_1203509-1206087_DIR-	383749063	1	ID.3854	0	0	ID.3854
cluster_1.00_65	1.00	65	rRNA_gi|383785713|ref|NC_017095.1|_1638910-1641472_DIR-	383785713	1	ID.1685	1	0	ID.1685
cluster_1.00_66	1.00	66	rRNA_gi|385221504|ref|NC_017361.1|_1374500-1377060_DIR-	385221504	2	ID.1790	0	0	ID.233
cluster_1.00_66	1.00	66	rRNA_gi|385221504|ref|NC_017361.1|_1144224-1145714_DIR-	385221504	2	ID.233	1	0	ID.233
